shop,latitude,longitude,salesman,beat
Rajasthan General Store,28.6139,77.2090,Rahul Sharma,North Zone
Mahalaxmi Traders,28.6128,77.2294,Amit Verma,North Zone
Krishna Provision Store,28.6328,77.2197,Rahul Sharma,Central Zone
New Delhi Mart,28.6234,77.2103,Priya Singh,South Zone
City Supermarket,28.6412,77.2389,Amit Verma,East Zone
Goyal Kirana Store,28.6089,77.2345,Priya Singh,South Zone
Sharma Wholesale,28.6278,77.2456,Rahul Sharma,West Zone
Apna Bazaar,28.6198,77.2123,Suresh Kumar,Central Zone
Punjab Provision,28.6356,77.2278,Suresh Kumar,North Zone
Green Valley Store,28.6067,77.2234,Priya Singh,South Zone
Bharat Traders,28.6445,77.2312,Amit Verma,East Zone
Laxmi General Store,28.6156,77.2467,Rahul Sharma,West Zone
Mahaveer Kirana,28.6289,77.2034,Suresh Kumar,Central Zone
Shiv Shakti Store,28.6034,77.2178,Priya Singh,South Zone
Ganga Traders,28.6378,77.2545,Amit Verma,East Zone
Om Provision Store,28.6212,77.2012,Rahul Sharma,West Zone
Dayal Mart,28.6489,77.2156,Suresh Kumar,North Zone
Kanha Kirana,28.6101,77.2423,Priya Singh,South Zone
Balaji Traders,28.6334,77.2089,Amit Verma,Central Zone
Sainik Provision,28.6178,77.2312,Rahul Sharma,East Zone
